;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
283;NoOutputs;4;0;4;94;32;0;1;25.5;2;5.5;1.36;1;3;1.45;1;38;0;6;0;2;0;0;0;0;54;10;10;18;25;0;0;4;4;17;1;0;0;15;1;8;10;0;0;4;18;7;1;8;1;1292168168
284;NormsWriter;0;0;0;164;76;22.4;29;20.1;1;4;15.5;19;8;3.93;5.5;75;24;3;6;15;0;0;0;0;95;23;23;29;23.4;0;0;13;13;92;3.2;0;0;63;0;4;6;0;0;12;39;13;2;3;21;1298314239
285;NormsWriterPerField;5;0;5;83;38;7.9;10;26.5;1;5;4.2;5;4;1.82;1.8;44;1;0;0;0;1;0;1;1;49;9;9;18;26.9;2;0;4;3;15;1;1;0;21;2;5;7;0;0;9;18;5;2;4;16;1297466174
286;NormsWriterPerThread;0;0;0;45;14;0;1;35.6;1;6;0.67;1;2;1.14;1;29;0;3;0;0;0;0;0;0;22;6;6;12;35.3;0;0;4;4;20;3;0;0;4;0;6;6;0;0;8;8;15;2;1;8;1269287493
287;NoSuchDirectoryException;0;0;0;31;5;0;1;64.5;1;1;1;1;2;0.6;1;3;0;0;0;0;0;0;0;0;7;1;1;14;66.7;1;0;1;1;5;2.4;0;0;1;2;1;1;5;0;0;2;0;3;1;7;1269287493
288;NumericField;14;0;14;278;49;0;17;70.9;1;14;1.71;2;2;1.29;1.07;32;0;1;0;0;0;0;0;0;65;17;17;161;71.2;0;0;2;2;35;1.8;0;0;24;14;14;14;0;0;6;28;31;0;14;21;1297338637
289;NumericRangeFilter;0;3;3;185;33;0;22;54.1;1;14;1;1;2;1.27;1;61;0;0;0;2;0;0;0;0;70;14;14;74;51.4;0;0;9;9;13;0.6;0;0;14;14;14;14;0;0;3;28;71;0;13;19;1297338637
290;NumericRangeQuery;0;4;4;515;125;7.2;120;44.3;2;5.5;9.18;9;4;2.25;1.89;212;7;4;6;25;0;0;0;0;244;92;46;189;43.6;0;0;41;41;158;2.2;0;0;118;14;22;19;0;0;7;42;107;2;16;38;1297338637
291;NumericTokenStream;2;9;11;308;98;2;45;46.4;4;5.25;2.62;2;4;1.95;1.13;77;2;5;0;1;1;1;0;1;135;33;8.3;110;44.9;4;0;22;17;76;1.9;5;0;52;20;24;10;0;0;8;23;0;1;10;31;1297338637
292;NumericUtils;3;0;3;432;141;22;34;47.2;3;6.33;5.74;10;4;2.16;2.79;89;2;8;4;11;0;0;0;0;195;65;21.7;146;42.8;0;0;34;32;136;2.3;2;0;107;19;19;15;1;0;3;30;105;11;12;23;1296056848
293;OffsetAttribute;0;0;0;44;6;0;0;68.2;1;3;0;0;1;0.5;0;4;0;0;0;0;0;0;0;0;7;0;0;23;76.7;0;0;1;1;5;2.4;0;0;0;4;3;3;1;0;1;3;3;6;3;10;1269287493
294;OffsetAttributeImpl;0;0;0;88;29;6.9;1;34.1;1;7;2.43;4;3;1.59;1.43;24;1;0;0;1;0;0;0;0;43;12;12;23;34.8;0;0;2;1;5;0.4;1;0;17;4;7;8;0;0;2;10;0;0;8;10;1297191928
295;OpenBitSet;4;0;4;823;352;14.5;55;38.4;1;58;4.95;9;3;1.94;1.9;281;10;2;1;21;3;0;0;3;413;135;135;250;37.7;5;36;33;32;122;1;0;1;285;53;58;58;0;1;7;74;0;14;57;35;1297191928
296;OpenBitSetDISI;11;0;11;102;32;15.6;18;48;1;6;3.67;4;3;1.75;2;20;0;1;0;4;0;0;0;0;44;12;12;35;44.3;1;0;1;1;5;0.4;0;0;22;7;6;6;0;0;2;16;15;1;6;9;1269287493
297;OpenBitSetIterator;5;0;5;193;63;19;5;37.8;1;6;7.67;6;5;2.22;3;37;0;1;0;0;2;0;0;2;104;20;20;52;33.3;2;40;12;6;40;1.3;5;1;45;3;6;7;0;0;2;10;3;1;5;12;1269287493
298;OrdFieldSource;0;0;0;116;33;9.1;12;47.4;1;8;2.25;1;2;0.91;1;43;1;1;0;5;1;0;1;1;50;15;15;33;39.8;0;0;7;7;35;2.3;0;0;17;2;5;6;0;0;7;17;0;1;5;39;1295962488
299;OrdTermState;0;0;0;38;8;0;2;55.3;1;2;1.5;1;2;1.13;1;8;1;0;0;0;0;0;0;0;13;2;2;14;51.9;1;0;3;3;20;5.1;0;0;3;2;2;4;0;1;1;13;2;3;3;2;1297938719
300;Outputs;4;0;4;57;12;0;7;54.4;1;0;0;0;1;0.58;0;9;0;0;0;2;0;0;0;0;13;0;0;25;65.8;3;0;3;3;15;3.8;0;0;0;8;7;8;1;5;2;9;28;13;8;1;1292168168
