;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
441;Term;0;4;4;202;73;17.8;24;45.5;1;17;2.82;10;3;1.64;1.76;84;1;1;4;2;2;0;2;2;91;43;43;71;43.8;0;0;6;6;40;1.5;0;0;46;13;17;19;1;0;2;37;0;58;16;29;1297191928
442;TermBuffer;0;0;0;109;55;12.7;18;25.7;1;7;5;3;3;1.58;2;42;0;1;0;1;2;0;2;2;69;17;17;22;24.2;6;0;7;6;65;3.1;1;0;33;6;7;9;1;0;4;24;0;1;6;18;1291116159
443;TermCollectingRewrite;0;0;0;105;50;14;17;23.8;2;1.5;8;10;4;1.72;4;43;4;2;2;6;0;0;0;0;62;14;7;21;25.3;1;0;6;5;64;3.4;0;1;28;4;7;6;0;3;15;24;13;3;0;5;1294868331
444;TermFreqVector;0;0;0;73;9;0;0;69.9;1;6;0;0;1;0.67;0;11;0;0;0;0;0;0;0;0;10;0;0;35;77.8;0;0;1;1;5;1.7;0;0;0;7;6;6;1;0;1;6;15;14;6;14;1278318805
445;TermInfo;0;0;0;63;26;0;0;33.3;1;5;3;1;2;1.5;1;31;0;1;0;0;0;0;0;0;33;5;5;17;34;7;0;8;8;65;6.6;0;0;15;9;5;5;1;1;0;6;0;6;5;16;1291116159
446;TermInfosReader;0;0;0;374;166;9.6;107;15;4;4.25;5.94;9;7;2.24;2.06;172;11;8;5;6;3;0;3;3;265;82;20.5;49;15.6;3;0;21;19;158;2;2;0;137;6;23;19;1;0;14;53;89;6;5;53;1296400215
447;TermPositionVector;0;0;0;43;4;0;0;79.1;1;2;0;0;1;0.5;0;5;0;0;0;0;0;0;0;0;5;0;0;24;82.8;0;0;1;1;5;3.3;0;0;0;3;2;2;1;0;2;2;1;2;2;9;1269287493
448;TermQuery;0;3;3;267;150;8;102;16.1;2;9;5.83;6;5;2.31;1.83;142;45;4;0;8;0;0;0;0;190;33;16.5;38;16.7;0;18;7;5;43;0.8;2;0;102;4;16;11;0;0;8;30;0;10;9;47;1295896411
449;TermRangeFilter;0;0;0;105;21;0;11;65.7;1;9;1;1;2;1.29;1;24;0;0;0;0;2;0;2;2;24;9;9;52;68.4;0;0;3;3;15;2.1;0;0;9;10;9;9;0;0;3;17;16;0;9;12;1270581567
450;TermRangeQuery;0;0;0;206;88;19.3;33;42.2;1;11;5.82;15;3;1.75;3.55;83;1;2;8;2;0;0;0;0;99;56;56;73;42.4;0;0;4;3;23;0.8;1;0;64;5;8;11;0;0;6;29;0;2;10;21;1291116159
451;TermRangeTermsEnum;0;0;0;131;47;19.1;16;42.7;1;2;15;12;5;1.91;8;40;0;2;2;4;0;0;0;0;65;22;22;43;39.8;0;0;5;5;33;1.7;0;0;28;2;2;2;0;0;4;10;0;1;1;2;1291080135
452;Terms;0;3;3;161;54;16.7;27;46.6;1;9;3.67;3;3;1.67;2;43;12;1;0;0;0;0;0;0;69;23;23;62;47.3;1;0;6;4;13;0.6;0;2;29;12;12;14;1;5;8;26;85;46;12;6;1295549635
453;TermsConsumer;0;0;0;120;59;25.4;24;23.3;1;1;44;16;8;3.47;16;43;6;2;4;11;0;0;0;0;75;15;15;22;22.7;1;0;7;7;60;2.7;0;0;43;6;5;7;1;2;16;22;17;7;6;4;1295889977
454;TermScorer;0;0;0;180;80;15;16;33.3;1;10;5.3;5;5;2.04;2.2;64;1;7;0;0;0;0;0;0;108;24;24;47;30.3;0;0;4;2;10;0.3;2;0;50;0;10;11;0;0;7;27;5;1;8;39;1295555804
455;TermsEnum;0;7;7;249;57;1.8;24;52.2;3;5.67;1.12;2;3;1.66;1.06;43;0;2;1;0;0;0;0;0;87;27;13.5;116;57.1;0;0;9;9;66;2.5;0;0;20;16;14;16;1;9;9;20;118;70;15;7;1295549635
456;TermsHash;0;0;0;113;55;18.2;20;21.2;1;6;6.17;10;4;1.91;2.67;76;7;4;0;9;0;0;0;0;68;14;14;19;21.8;0;0;6;6;11;0.5;0;0;36;0;6;6;0;0;10;21;0;3;3;20;1298314239
457;TermsHashConsumer;0;0;0;28;8;0;3;57.1;1;0;0;0;1;0.38;0;9;0;0;0;0;0;0;0;0;9;0;0;12;57.1;0;0;2;2;15;5.6;0;0;0;0;3;4;1;2;3;5;6;5;0;13;1298314239
458;TermsHashConsumerPerField;0;0;0;39;12;0;8;51.3;1;0;0;0;1;0.67;0;19;0;0;0;0;0;0;0;0;13;0;0;16;55.2;0;0;2;2;15;3.8;0;0;0;0;8;9;1;2;2;10;36;10;0;11;1270581567
459;TermsHashConsumerPerThread;0;0;0;27;7;0;4;59.3;1;0;0;0;1;0.57;0;9;0;0;0;0;0;0;0;0;8;0;0;12;60;2;0;4;4;19;7.9;0;0;0;2;4;5;1;2;4;6;10;8;2;7;1269287493
460;TermsHashPerField;0;0;0;328;185;12.4;51;12.5;2;9.5;6.84;9;5;2.15;2.32;177;11;9;1;8;1;1;0;1;237;44;22;37;13.5;4;46;12;12;103;1.4;0;0;129;5;19;15;0;0;23;45;0;11;7;23;1287917445
461;TermsHashPerThread;0;0;0;99;51;11.8;16;24.2;1;6;5.17;3;3;1.67;2;59;3;1;0;0;0;0;0;0;64;13;13;20;23.8;0;0;2;2;7;0.4;0;0;29;0;6;7;0;0;17;22;0;9;4;16;1286023472
462;TermsIndexReaderBase;0;0;0;75;19;0;11;48;2;0;0;0;2;0.89;0;15;0;0;0;0;0;0;0;0;21;0;0;31;59.6;10;0;6;6;24;3.8;0;0;0;13;11;7;1;2;2;8;21;6;7;3;1294224724
463;TermsIndexWriterBase;0;0;0;36;11;0;5;47.2;2;0;0;0;2;0.82;0;11;0;0;0;0;0;0;0;0;13;0;0;13;50;6;0;3;3;25;6.4;0;0;0;7;5;3;1;2;2;4;3;8;3;4;1295549635
464;TermSpans;0;0;0;169;80;7.5;13;13;2;9;2.5;4;4;1.79;1.33;44;0;2;0;0;0;0;0;0;121;28;14;15;11;2;0;5;5;40;1.1;0;0;44;3;18;12;0;1;5;28;0;4;10;14;1270581567
465;TermState;0;7;7;52;10;10;3;59.6;1;2;2.5;2;3;1.5;1.5;8;0;0;0;0;0;0;0;0;16;5;5;21;56.8;0;0;3;2;35;7.3;0;1;4;2;3;4;1;2;0;7;6;20;4;8;1297938719
466;TermStats;0;0;0;28;7;0;0;57.1;1;1;2;1;2;1;1;8;0;0;0;0;0;0;0;0;9;1;1;12;57.1;3;0;1;1;5;1.9;0;0;2;4;1;1;1;0;0;2;0;16;1;3;1295102557
467;TermToBytesRefAttribute;0;8;8;49;5;0;0;81.6;1;1;0;0;1;0.2;0;6;0;0;0;0;0;0;0;0;6;0;0;33;84.6;0;0;2;2;7;3.9;0;0;0;2;1;1;1;0;2;1;0;5;1;2;1272905807
468;TermVectorEntry;0;0;0;103;44;6.8;4;18.4;1;13;1.77;5;2;1.45;1.31;56;0;7;0;3;4;0;0;4;62;18;18;15;19.5;2;0;6;6;14;0.8;0;0;23;3;9;13;1;0;2;23;32;3;10;9;1278318805
469;TermVectorEntryFreqSortedComparator;0;0;0;40;11;18.2;8;50;1;1;7;3;4;1.73;3;9;2;0;0;1;1;0;1;1;17;3;3;12;41.4;1;0;2;2;20;3.9;0;0;7;2;1;3;1;0;2;9;3;0;3;8;1269287493
470;TermVectorMapper;0;0;0;104;16;0;2;64.4;1;5;0.8;1;2;1.06;1;28;0;4;0;1;0;0;0;0;24;3;3;42;63.6;0;0;1;1;5;0.7;0;0;4;4;5;7;1;4;2;8;17;11;5;10;1283181885
471;TermVectorOffsetInfo;0;0;0;91;33;12.1;1;41.8;1;8;2.5;5;2;1.55;1.5;31;0;2;0;1;0;0;0;0;40;12;12;23;36.5;1;0;10;8;18;1.5;0;2;20;2;4;9;1;0;0;10;2;11;8;12;1297191928
472;TermVectorsReader;0;0;0;547;292;19.2;104;21.2;2;12;9.83;14;6;2.53;3.5;245;7;9;7;42;0;0;0;0;350;81;40.5;96;21.5;2;5;33;33;273;2.6;0;0;223;3;24;22;1;0;14;61;99;4;2;48;1292268032
473;TermVectorsTermsWriter;0;0;0;243;135;14.1;73;11.1;1;14;7.64;5;4;2.33;2.5;129;16;6;0;5;5;0;0;5;178;35;17.5;23;11.4;0;15;14;13;100;1.9;0;1;96;0;14;10;0;0;18;49;0;4;3;26;1294227869
474;TermVectorsTermsWriterPerField;0;0;0;306;161;13;54;13.4;2;7.5;8.13;13;5;2.27;2.6;167;24;5;5;16;0;0;0;0;204;39;19.5;37;15.4;1;0;17;17;89;1.5;0;0;122;1;15;12;0;0;22;42;18;2;2;23;1296400215
475;TermVectorsTermsWriterPerThread;0;0;0;89;41;9.8;7;21.3;1;7;3.43;3;3;1.78;1.57;57;0;3;0;0;0;0;0;0;57;13;13;15;20.8;0;0;4;4;20;1.2;0;0;21;0;7;8;0;0;12;17;16;2;5;9;1270581567
476;TermVectorsWriter;0;0;0;210;120;20;58;19;1;4;26.75;15;7;3.54;7;116;31;6;8;25;0;0;0;0;142;34;34;31;17.9;0;20;13;13;93;2.2;0;0;102;1;4;5;1;0;12;33;0;1;2;26;1278318805
477;ThreadInterruptedException;0;6;6;30;4;0;1;70;1;1;1;1;2;0.75;1;4;0;0;0;0;0;0;0;0;6;1;1;17;73.9;1;0;1;1;5;2.8;0;0;1;2;1;1;4;0;0;2;0;10;1;7;1269287493
478;TimeLimitingCollector;0;0;0;231;70;5.7;16;45;3;5.33;2.06;3;5;1.96;1.25;65;0;10;0;0;0;0;0;0;100;14;4.7;76;43.2;0;0;12;11;79;2.6;1;0;33;4;8;11;0;0;5;21;9;1;9;13;1294820532
479;Token;15;0;15;647;226;5.3;58;46.5;2;20.5;3.98;10;4;1.78;1.46;202;7;4;1;4;3;3;0;3;296;62;31;255;46.3;0;0;8;8;59;0.7;0;0;162;26;35;7;1;0;0;8;19;5;7;113;1295476876
481;TokenFilter;0;0;0;56;13;0;4;50;1;4;1.25;1;2;1.15;1;6;0;0;0;0;0;0;0;0;21;4;4;23;52.3;0;0;1;1;5;0.8;0;0;5;1;4;4;0;1;2;8;0;1;3;23;1269287493
482;Tokenizer;0;0;0;95;27;3.7;9;45.3;1;9;1.33;2;3;1.33;1.11;23;1;1;0;1;0;0;0;0;38;11;11;37;49.3;0;0;1;1;5;0.4;0;0;12;2;9;9;0;1;5;15;6;1;2;28;1270818726
483;TokenMgrError;0;0;0;141;57;42.1;26;38.3;1;6;7.17;15;6;3.35;3.33;63;14;2;2;0;1;0;1;1;73;19;19;31;29.8;0;42;28;28;403;18.4;0;0;32;4;6;6;3;0;0;22;15;2;4;64;1285686672
484;TokenStream;1;16;17;182;31;3.2;13;70.3;1;7;1.71;2;3;1.16;1.14;27;6;5;0;2;0;0;0;0;41;12;12;108;72.5;0;0;8;8;55;4.5;0;0;11;5;8;9;0;3;2;21;16;13;4;40;1283181885
485;TopDocs;0;2;2;55;15;0;1;52.7;1;4;1.5;1;2;1.27;1;12;0;1;0;1;1;0;0;1;20;2;2;22;52.4;1;0;5;5;35;5.8;0;0;6;4;2;4;1;1;1;5;0;7;3;18;1297191928
486;TopDocsCollector;0;0;0;151;28;10.7;16;60.9;1;6;2.67;5;3;1.57;1.83;22;0;0;0;0;0;0;0;0;38;17;17;76;66.7;0;0;3;3;11;1;0;0;16;5;7;8;0;2;4;14;0;2;4;12;1279738110
487;TopFieldCollector;0;0;0;1004;435;28.3;155;22.9;13;3.92;6.84;20;7;3.43;3.53;383;69;8;28;16;0;0;0;0;652;193;14.8;191;22.7;0;493;25;25;645;3.3;0;0;339;2;51;8;0;2;23;32;14;3;2;23;1294830907
488;TopFieldDocs;0;0;0;40;6;0;1;65;1;1;2;1;2;1;1;7;0;0;0;0;1;0;0;1;9;1;1;20;69;0;0;2;2;15;5.6;0;0;2;3;1;1;0;0;3;2;0;3;1;15;1294253125
489;TopScoreDocCollector;0;0;0;166;62;14.5;18;31.9;3;3.67;3.82;5;4;2.24;2;52;1;5;0;5;0;0;0;0;88;26;8.7;43;32.8;0;0;12;10;56;2.1;2;0;40;2;11;6;0;2;9;15;11;3;3;17;1294820532
490;TopTermsRewrite;0;0;0;188;110;14.5;53;20.2;4;2.5;8;12;6;2.76;3.7;104;13;2;4;24;1;0;1;1;132;31;15.5;30;18.5;5;0;21;17;90;2.3;4;0;69;7;7;7;0;3;12;31;0;7;5;3;1296426876
491;ToStringUtils;0;0;0;46;13;30.8;6;50;1;3;2.67;3;4;1.85;2.33;9;0;1;0;0;0;0;0;0;17;8;8;15;46.9;1;0;2;1;5;1;1;0;7;3;3;3;1;0;0;10;3;26;2;12;1288826101
492;TotalHitCountCollector;0;0;0;51;12;0;0;39.2;1;5;0.6;1;2;1;1;13;0;2;0;0;0;0;0;0;22;4;4;14;38.9;0;0;3;3;15;2.3;0;0;3;1;4;6;0;0;3;7;13;0;6;3;1296400215
493;Transition;0;0;0;212;110;27.3;36;36.3;3;4.33;6.69;14;4;2.37;3.69;108;0;2;2;0;2;0;2;2;115;61;20.3;27;19;2;7;33;32;155;4.5;0;1;83;8;13;13;1;0;3;25;10;16;10;4;1297191928
494;TypeAttribute;0;0;0;36;6;0;0;63.9;1;2;0;0;1;0.5;0;4;0;0;0;0;0;0;0;0;7;0;0;17;70.8;0;0;2;2;15;7.1;0;0;0;3;2;2;1;0;1;2;1;3;2;10;1269287493
495;TypeAttributeImpl;0;0;0;76;26;7.7;4;28.9;1;8;1.75;3;3;1.54;1.25;21;1;0;0;0;0;0;0;0;41;13;13;16;28.1;2;0;3;2;6;0.5;1;0;14;4;7;8;0;0;2;12;0;0;8;12;1297191928
496;UnicodeUtil;0;2;2;708;328;28;50;33.5;2;8;19.06;75;9+;3.95;11.81;263;0;18;7;102;0;0;0;0;418;122;61;194;31.7;11;58;67;54;443;3.5;13;0;275;20;16;14;1;0;4;38;83;11;12;21;1288826101
497;UTF32ToUTF8;0;0;0;326;185;17.8;120;19.6;3;5;9.73;11;5;2.72;3.5;138;21;7;0;5;0;0;0;0;231;44;14.7;60;20.6;3;0;13;13;40;0.6;0;0;142;5;14;10;1;0;6;38;31;3;3;5;1297016220
498;Util;0;0;0;326;141;27.7;75;26.4;1;4;15.75;19;7;3;6.25;107;30;9;6;14;0;0;0;0;190;67;67;69;26.6;0;39;16;16;75;1.3;0;0;126;6;8;9;1;0;6;53;16;0;5;3;1298453724
499;ValueSource;0;0;0;86;15;0;6;60.5;1;2;1;1;2;0.67;1;16;0;0;0;0;0;0;0;0;22;2;2;33;60;0;0;2;2;15;2.3;0;0;2;4;6;7;1;4;3;8;21;9;7;47;1297191928
500;ValueSourceQuery;0;0;0;205;79;5.1;38;25.4;2;9;2.67;5;4;2.11;1.28;86;7;2;0;0;0;0;0;0;125;30;10;41;24.7;0;0;2;1;5;0.1;1;0;43;2;19;7;0;1;7;22;9;5;7;33;1295555804
501;VariableGapTermsIndexReader;0;0;0;253;129;14.7;42;11.5;3;6.33;4.16;5;7;2.44;2.05;99;8;2;0;5;0;0;0;0;180;42;14;24;11.8;4;0;13;13;50;0.9;0;0;74;5;18;14;0;0;13;37;61;3;9;2;1295549635
502;VariableGapTermsIndexWriter;0;0;0;290;133;9.8;39;27.9;5;3.2;4.69;5;4;2.15;1.94;114;0;1;0;5;1;0;0;1;176;35;7;72;29;5;20;15;15;70;1.3;0;0;71;9;18;7;0;0;13;25;7;3;3;5;1295549635
503;VariableIntBlockIndexInput;0;0;0;217;106;10.4;26;19.8;4;4;4.06;5;5;2.69;1.73;76;1;1;0;2;2;0;1;2;143;22;5.5;37;20.6;6;69;10;10;100;2.3;0;0;62;7;17;7;0;0;7;11;15;1;5;5;1297453315
504;VariableIntBlockIndexOutput;0;0;0;126;51;7.8;12;31;2;3.5;4.43;4;4;2.31;1.57;43;0;0;0;0;0;0;0;0;69;10;5;33;32.4;0;33;4;4;35;1.7;0;0;29;1;8;8;0;0;4;13;16;1;4;4;1297453315
505;Weight;0;4;4;191;31;6.5;9;69.6;2;2.5;2;2;4;1.71;1.4;22;0;0;0;0;0;0;0;0;38;9;4.5;105;73.4;0;0;5;5;40;3.5;0;0;10;14;11;8;1;11;5;9;28;61;8;25;1297191928
506;VerifyingLockFactory;0;0;0;125;51;7.8;20;29.6;2;4.5;3.33;3;4;2.35;1.44;67;5;7;0;0;0;0;0;0;73;15;7.5;28;27.7;0;0;3;1;5;0.2;0;2;29;2;9;3;0;0;3;7;0;2;3;10;1269287493
507;Version;0;0;0;76;5;0;1;72.4;1;1;1;1;2;0.8;1;4;0;0;0;0;0;0;0;0;13;1;1;41;75.9;1;0;1;1;5;1.3;0;0;1;2;1;5;2;0;0;9;8;7;3;16;1291116159
508;WildcardQuery;0;0;0;114;48;22.9;31;38.6;1;4;7.75;6;6;2.46;2.5;19;5;1;0;0;0;0;0;0;58;10;10;31;34.8;0;0;4;4;21;1.2;0;0;27;4;4;4;0;0;6;22;4;1;4;28;1288987640
509;VirtualMethod;0;0;0;150;43;18.6;23;52;1;4;4.75;7;5;1.86;2.75;53;4;3;0;3;1;0;0;1;60;17;17;62;50.8;0;0;7;6;32;1.8;1;0;25;5;5;6;1;0;0;27;9;0;4;7;1275241944
