;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
528;Permissions;0;0;0;357;113;4.4;149;36.4;1;6;7.5;6;4;1.41;1.83;101;13;6;0;2;3;1;0;3;14;1;0;3;41;49;6;6;198;51;17;65;24.7;0;0;11;10;73;1.2;1;0;98;12;15;15;1186942301
529;PlainJUnitResultFormatter;0;0;0;250;98;10.2;76;36;1;12;5.33;9;5;1.95;2.08;72;8;5;0;3;2;0;0;2;12;1;0;9;46;34;0;11;133;26;26;39;22.7;0;0;7;7;105;2.6;0;0;61;9;9;40;1190628000
530;PlainMailer;0;0;0;137;67;20.9;62;24.8;1;2;27.5;11;4;2.52;8.5;64;37;1;5;2;1;0;1;1;3;0;1;6;43;3;2;1;88;18;18;8;8.3;0;0;3;3;31;1.2;0;0;52;1;2;17;1157136567
531;PrefixLines;0;0;0;163;48;22.9;19;49.7;1;7;4.71;10;5;2.13;2.71;25;6;1;0;3;0;0;0;0;7;0;0;3;23;0;1;5;68;17;17;36;34.6;0;0;2;2;20;1;0;0;32;5;6;22;1157136567
532;PresentSelector;0;0;0;181;62;22.6;27;44.2;2;4;5.13;7;3;1.79;2.88;31;0;2;0;0;0;0;0;0;7;0;0;7;26;0;6;7;83;22;11;38;31.4;0;37;4;4;50;2;0;0;38;8;7;14;1157136567
533;PreSetDef;0;16;16;275;75;8;40;48.4;2;9.5;2.16;5;4;2.04;1.74;52;10;2;0;2;0;0;0;0;4;0;0;10;20;2;0;4;112;41;20.5;67;37.4;0;0;7;7;36;1.1;0;0;41;19;17;17;1162422052
534;ProcessDestroyer;0;0;0;221;88;21.6;37;38;2;5;6.3;12;5;2.63;3.5;78;17;3;2;0;0;0;0;0;7;1;0;1;36;0;2;4;122;33;16.5;48;28.2;1;0;20;14;120;3.3;1;5;54;4;8;33;1190298376
535;ProfileLogger;0;0;0;112;41;4.9;32;45.5;1;6;4.33;3;3;1.51;1.33;35;5;2;0;2;0;0;0;0;7;0;0;5;26;0;0;5;51;7;7;19;27.1;0;0;2;2;20;1.3;0;0;25;5;6;2;1190203293
536;Project;54;0;54;2382;425;0;602;55;1;0;0;0;2;0.56;0;582;105;21;8;21;7;1;2;7;120;1;0;30;287;6696;362;104;914;240;120;859;48.4;0;0;118;112;1327;4.8;0;6;422;91;107;266;1188834976
537;ProjectComponent;0;0;0;170;31;9.7;10;65.3;1;10;1.6;4;4;1.58;1.3;21;3;2;0;0;0;0;0;0;10;1;28;2;14;35;65;10;44;12;12;56;56;0;0;10;10;95;7.2;0;0;15;10;10;40;1165445300
538;ProjectHelper;5;0;5;510;124;20.2;69;56.3;1;17;5.06;11;6;1.8;3;133;22;4;6;6;2;1;0;2;18;1;2;8;68;151;18;17;184;59;59;193;51.2;0;0;39;38;378;6.8;1;0;82;16;17;133;1182484322
539;ProjectHelper2;0;0;0;1044;275;1.5;391;42.8;2;1;117.5;2;4;2.86;2;364;90;25;18;39;0;0;0;0;17;0;0;16;85;74;7;4;517;146;20.9;295;36.3;0;15;54;54;520;3.4;0;0;276;33;36;70;1186943060
540;ProjectHelperImpl;0;0;0;1025;336;19.6;188;48.1;9;3.67;7.33;18;6;2.85;3.06;309;37;27;13;45;0;0;0;0;15;0;0;13;66;77;9;2;441;107;11.9;306;41;0;15;49;48;423;3.2;1;0;217;23;33;39;1186943060
541;PropertiesfileCache;0;0;0;236;74;10.8;37;41.9;1;12;3.92;5;4;1.85;1.92;45;8;1;0;4;1;0;1;1;12;1;0;1;42;0;1;12;97;24;24;57;37;0;0;11;9;86;3;0;2;44;10;10;9;1165207910
542;Property;0;1;1;651;231;20.8;114;42.1;1;37;4.49;25;5;1.81;2.13;142;26;5;6;10;1;0;0;1;37;0;0;12;100;594;4;26;323;93;93;171;34.6;0;26;13;11;138;1.4;0;2;139;27;37;127;1190634994
543;PropertyExpander;0;0;0;36;5;0;0;69.4;1;1;0;0;1;0.2;0;2;0;0;0;0;0;0;0;0;1;1;0;2;1;0;4;1;7;0;0;6;46.2;0;0;2;2;7;3.3;0;0;0;2;1;1;1190634994
