;Class;Source;Target;Total;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;Creation
695;TarScanner;0;0;0;86;33;21.2;16;43;1;1;23;8;6;2.64;8;20;3;0;0;3;0;0;0;0;2;0;0;7;17;1;1;1;43;9;9;15;25.9;0;11;5;5;65;5;0;0;19;1;1;3;1173843919
696;TarUtils;0;0;0;206;60;23.3;8;43.2;1;7;7.14;7;4;2.15;3.43;38;0;1;0;5;0;0;0;0;8;1;0;0;14;28;1;8;85;23;23;46;35.1;0;0;7;7;145;5.7;0;0;53;8;7;20;1190731809
697;Task;0;0;0;482;129;14;74;55.6;1;29;3.07;7;5;2.16;1.62;81;14;10;1;3;0;0;0;0;29;0;109;8;66;346;188;19;175;46;46;144;45.1;0;0;11;10;70;1.3;0;1;81;19;29;103;1165383061
698;TaskAdapter;0;0;0;161;51;19.6;30;47.8;1;7;5.71;7;5;2.49;3;19;4;1;0;0;0;0;0;0;6;0;0;6;28;9;2;6;72;21;21;40;35.7;0;0;5;5;48;2.2;0;0;32;4;3;57;1158125149
699;TaskContainer;0;0;0;41;3;0;0;85.4;1;1;0;0;1;0.33;0;2;0;0;0;0;0;0;0;0;1;1;0;1;1;0;14;1;4;0;0;11;73.3;0;0;2;2;7;5.8;0;0;0;2;1;18;1173780195
700;Taskdef;0;0;0;52;7;0;2;73.1;1;1;2;1;2;0.71;1;5;0;0;0;0;0;0;0;0;1;0;0;1;7;0;0;1;9;1;1;17;65.4;0;0;1;1;5;1.9;0;0;2;2;1;38;1157136567
701;TaskLogger;0;0;0;79;17;0;5;59.5;1;6;1;1;2;1.12;1;3;0;1;0;0;0;0;0;0;6;1;0;1;8;0;0;6;24;6;6;14;36.8;0;0;1;1;5;0.7;0;0;6;7;6;12;1157136567
702;TaskOutputStream;0;0;0;95;26;11.5;10;49.5;1;3;5;5;4;1.54;2.33;24;0;2;0;0;0;0;0;0;3;2;0;1;10;0;0;1;34;6;6;20;37;0;0;8;8;75;7.4;0;0;14;2;3;24;1157136567
703;TeeOutputStream;0;0;0;95;26;0;10;53.7;1;6;2.33;1;3;1.46;1;18;0;2;0;0;0;0;0;0;6;2;0;0;12;0;3;6;34;6;6;19;35.8;0;0;6;6;30;2.9;0;0;13;7;6;9;1157136567
704;TelnetTask;0;0;0;391;133;15.8;66;43.7;5;4.2;4;16;7;2.55;2.38;108;16;4;7;3;10;1;0;10;11;0;0;4;12;55;4;10;187;51;10.2;86;31.5;0;54;17;15;199;3.5;2;0;77;17;13;49;1190298376
705;TempFile;0;0;0;169;40;10;10;53.8;1;9;2;6;3;1.4;1.56;18;3;0;0;0;0;0;0;0;11;0;0;4;21;23;1;10;55;6;6;41;42.7;0;0;1;1;5;0.3;0;0;17;2;1;21;1189596915
706;Text;0;0;0;127;50;0;21;38.6;1;7;3.86;1;2;1.36;1;52;14;3;0;1;6;0;0;6;8;0;0;3;9;28;2;8;62;1;1;15;19.5;0;0;6;6;17;0.9;0;0;27;2;1;9;1163549427
707;TimeComparison;0;0;0;122;31;9.7;14;52.5;1;7;2.14;4;3;1.45;1.43;36;0;1;0;0;1;0;0;1;8;0;1;3;15;20;5;7;43;13;13;31;41.9;0;0;2;2;10;0.8;0;0;15;6;6;3;1157136567
708;TimeoutObserver;0;0;0;37;3;0;0;81.1;1;1;0;0;1;0.33;0;2;0;0;0;0;0;0;0;0;1;1;0;1;1;0;3;1;4;0;0;5;55.6;0;0;2;2;7;5.8;0;0;0;2;1;10;1157136567
709;TimestampedLogger;0;0;0;54;8;0;4;64.8;1;2;1;1;2;0.88;1;2;0;0;0;0;0;0;0;0;3;0;0;1;11;3;0;1;11;2;2;8;42.1;0;0;1;1;5;1.5;0;0;2;1;2;7;1186943060
710;TokenFilter;0;0;0;726;242;16.5;99;41.6;12;3.58;3.47;12;6;2.28;1.85;157;11;10;5;1;0;0;0;0;19;0;0;17;41;23;5;19;350;90;7.5;163;31.8;0;86;16;16;159;1.5;0;0;149;40;31;23;1176210880
711;Tokenizer;0;0;0;44;6;0;0;77.3;1;2;0;0;1;0.33;0;3;0;0;0;1;0;0;0;0;2;1;0;0;2;1;6;2;7;0;0;10;58.8;0;0;1;1;5;2.4;0;0;0;3;2;7;1159396387
712;Tokens;0;0;0;130;61;21.3;25;32.3;1;4;9.75;8;4;1.82;4.25;29;3;4;0;4;1;0;0;1;5;0;0;10;29;2;0;3;78;20;20;15;16.1;0;0;6;4;42;1.8;2;0;35;2;3;3;1177683476
713;Touch;0;0;0;375;155;18.1;76;33.9;4;6.25;3.8;16;7;2.2;2.42;127;16;17;6;16;4;0;0;4;20;0;0;18;71;130;1;13;218;59;29.5;69;24;0;0;14;14;97;1.5;0;0;85;8;16;74;1188903975
714;Touchable;0;0;0;32;3;0;0;84.4;1;1;0;0;1;0.33;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;4;1;4;0;0;6;60;0;0;2;2;7;5.8;0;0;0;2;1;6;1163718822
715;Transform;0;0;0;30;2;0;0;83.3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;3;0;0;5;62.5;0;0;1;1;5;5.6;0;0;0;1;0;23;1165207910
716;TransformOperation;0;0;0;37;6;0;2;73;1;1;1;1;2;0.67;1;4;0;0;0;0;0;0;0;0;3;0;3;3;4;3;3;3;8;1;1;5;38.5;0;0;1;1;5;2.1;0;0;1;3;2;12;1163549427
717;Translate;0;0;0;627;234;20.9;143;37.5;1;17;10.06;26;9+;3.42;4.65;199;77;12;12;10;3;0;2;3;19;0;0;8;84;103;0;14;330;73;73;126;27.6;0;0;22;22;276;2.8;0;0;168;3;6;63;1190892690
718;TraXLiaison;0;0;0;569;244;16.8;131;33.9;1;24;6.75;9;5;2.02;2.75;162;44;8;0;10;0;0;0;0;25;1;0;15;108;244;0;15;318;64;64;122;27.7;0;32;24;22;230;2.4;0;2;150;11;20;49;1162767017
719;Truncate;0;0;0;204;97;19.6;35;25;1;10;6.2;8;5;1.98;3.2;51;2;1;0;4;1;0;0;1;12;0;0;7;40;38;0;8;129;40;40;20;13.4;0;0;4;3;27;0.7;1;0;56;5;7;5;1189769961
720;Tstamp;0;0;0;340;128;11.7;75;37.6;3;4.67;5.29;8;7;2.42;2.15;113;22;6;0;1;1;0;0;1;6;0;0;5;27;3;1;4;180;28;9.3;74;29.1;0;53;10;10;85;1.6;0;0;70;11;10;65;1162508579
721;Type;0;0;0;44;8;12.5;2;65.9;1;1;4;2;3;1.25;2;33;0;4;0;2;2;0;1;2;2;0;0;2;4;1;0;1;11;4;4;8;42.1;0;0;1;1;5;1.5;0;0;4;1;1;5;1157136567
723;TypeAdapter;0;0;0;66;7;0;0;77.3;1;5;0;0;1;0.71;0;4;0;0;0;0;0;0;0;0;5;1;0;1;5;10;6;5;8;0;0;16;66.7;0;0;1;1;5;2.1;0;0;0;6;5;10;1157136567
724;Typedef;0;3;3;46;2;0;0;84.8;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;2;0;2;1;3;0;0;18;85.7;0;0;1;1;5;5.6;0;0;0;1;0;20;1157136567
725;TypeFound;0;0;0;90;29;10.3;10;46.7;1;4;3.75;3;3;1.38;1.75;18;3;0;0;0;0;0;0;0;5;0;0;7;14;6;0;4;38;7;7;15;28.3;0;0;1;1;5;0.4;0;0;15;2;2;11;1162766862
726;TypeSelector;0;0;0;135;40;17.5;19;46.7;2;3.5;3.29;5;5;2.1;2;27;6;1;0;0;0;0;0;0;6;0;0;3;21;0;5;6;54;13;6.5;23;29.9;0;0;3;3;30;1.9;0;0;21;7;6;11;1157136567
727;Union;0;0;0;127;42;16.7;35;43.3;1;6;4.17;6;5;1.71;2.17;38;12;1;0;2;0;0;0;0;8;0;0;3;26;28;14;5;60;19;19;22;26.8;0;0;5;5;22;1.2;0;0;25;5;8;7;1191415787
728;UnixStat;0;0;0;76;9;0;0;80.3;1;0;0;0;1;0.78;0;16;0;8;0;0;0;0;0;0;0;1;0;0;0;0;1;0;10;0;0;20;66.7;0;0;2;2;15;5;0;0;0;1;0;16;1186942068
729;UnknownElement;9;0;9;672;249;23.3;202;38.4;1;31;6.55;15;7;2.38;2.97;211;86;6;6;5;0;0;0;0;31;0;0;15;119;277;19;19;361;101;101;139;27.8;0;0;10;10;85;0.8;0;0;193;13;24;107;1187856733
730;Unpack;0;0;0;192;61;16.4;46;41.1;1;10;3.8;5;3;1.72;2.2;31;7;0;0;0;0;0;0;0;13;0;2;7;40;62;2;8;94;26;26;38;28.8;0;0;5;5;35;1.2;0;0;36;8;12;34;1176821600
731;UnPackageNameMapper;0;0;0;48;6;0;3;75;1;1;2;1;2;0.83;1;6;1;0;0;0;0;0;0;0;2;0;0;1;6;1;0;1;9;1;1;12;57.1;0;0;1;1;5;1.9;0;0;2;1;1;7;1157136567
732;UnrecognizedExtraField;0;0;0;137;29;6.9;7;59.9;1;9;1.67;2;3;1.52;1.22;19;0;2;0;0;4;0;0;4;10;1;0;2;13;31;1;10;41;8;8;34;45.3;0;0;3;3;15;1.2;0;0;15;5;4;19;1163872678
733;UnsupportedAttributeException;0;0;0;48;8;0;1;66.7;1;2;1.5;1;2;1.13;1;6;0;1;0;0;0;0;0;0;2;0;0;1;3;0;3;2;11;1;1;7;38.9;0;0;2;2;10;3;0;0;3;2;1;4;1157136567
734;UnsupportedElementException;0;0;0;56;8;0;1;73.2;1;2;1.5;1;2;1.13;1;7;0;1;0;0;0;0;0;0;2;0;0;1;3;0;2;2;11;1;1;16;59.3;0;0;2;2;10;3;0;0;3;2;1;4;1157136567
735;Untar;0;0;0;223;63;3.2;47;45.7;1;5;7;2;3;1.6;1.4;34;4;0;0;6;0;0;0;0;6;0;0;9;32;9;0;3;104;20;10;49;32;0;0;4;4;45;1.4;0;0;37;6;7;69;1163873635
736;UpToDate;2;0;2;269;100;18;57;35.3;1;13;4.77;19;4;1.77;3;67;12;5;5;5;0;0;0;0;14;0;0;16;48;41;1;11;146;40;40;46;24;0;0;6;6;67;1.5;0;0;59;7;9;73;1176034107
737;URLResolver;0;0;0;132;55;14.5;15;37.9;1;7;5.14;7;5;1.91;2.57;12;0;1;0;0;0;0;0;0;8;1;0;5;24;0;1;6;69;16;16;16;18.8;0;0;2;2;10;0.5;0;0;34;3;4;14;1157136567
738;URLResource;0;0;0;370;145;18.6;90;37.6;1;22;4.64;5;5;2.08;2.23;104;25;21;0;1;3;0;0;3;23;0;0;4;65;213;2;18;202;80;80;72;26.3;0;0;10;8;95;1.6;2;0;92;18;22;11;1178663364
739;Utf8CPInfo;0;0;0;67;13;0;2;61.2;1;4;1;1;2;1;1;3;0;0;0;0;0;0;0;0;4;0;0;1;9;0;5;4;18;3;3;12;40;0;0;1;1;5;0.9;0;0;4;4;3;16;1157136567
740;UUEncoder;0;0;0;148;57;8.8;17;41.2;1;6;6.67;4;5;2.11;1.83;43;0;1;0;7;1;0;0;1;6;1;0;0;16;11;1;2;74;12;12;32;30.2;0;0;4;4;35;1.6;0;0;40;3;6;8;1190884281
741;UUMailer;0;0;0;55;19;5.3;10;40;1;1;9;3;3;1.26;3;10;0;0;0;1;0;0;0;0;2;0;0;3;15;1;0;0;26;4;4;2;7.1;0;0;2;2;20;2.6;0;0;8;0;1;10;1161553280
742;WaitFor;14;0;14;239;84;7.1;44;43.1;2;5;4.4;6;6;2.05;1.67;64;5;1;0;4;1;0;0;1;9;0;0;5;27;16;0;7;113;15;7.5;55;32.7;0;0;4;3;15;0.4;1;0;42;6;6;47;1189976888
743;War;0;0;0;230;62;11.3;26;49.1;1;10;3.6;6;5;1.71;2.1;36;0;1;0;3;0;0;0;0;11;0;0;6;35;39;0;7;96;21;21;68;41.5;0;0;5;5;31;1.1;0;0;35;7;9;66;1187627664
744;Watchdog;0;0;0;128;38;13.2;16;50;1;7;3.29;5;4;1.71;1.86;34;5;5;0;0;0;0;0;0;7;1;0;1;22;0;3;6;51;14;14;24;32;0;0;4;3;30;2;1;0;22;7;7;19;1190730992
745;WeakishReference;0;0;0;91;13;0;4;63.7;2;2;1;1;3;1.23;1;8;0;1;0;0;0;0;0;0;3;1;1;0;6;1;1;2;19;4;2;26;57.8;0;0;4;4;30;5.3;0;0;4;5;4;24;1163371140
746;WeakishReference12;0;0;0;45;5;0;1;73.3;1;1;1;1;2;0.6;1;3;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;7;1;1;12;63.2;0;0;3;3;20;9.5;0;0;1;2;1;19;1163549280
747;WeblogicDeploymentTool;0;0;0;928;339;19.5;234;33.1;2;16;7.84;38;9+;3.02;3.48;332;132;6;10;25;10;7;3;10;32;0;1;14;140;400;3;23;474;86;86;212;30.9;0;96;28;27;434;3.1;1;0;230;5;12;81;1190825410
748;WebLogicHotDeploymentTool;0;0;0;247;64;15.6;70;42.9;1;11;3.91;11;4;1.78;2.64;69;32;2;2;8;0;0;0;0;13;0;0;8;37;60;1;7;110;33;33;63;36.4;0;0;4;4;41;1.2;0;0;44;4;8;20;1190825410
749;WeblogicTOPLinkDeploymentTool;0;0;0;112;31;16.1;12;45.5;1;5;3.4;3;3;1.52;2;23;4;1;0;2;0;0;0;0;6;0;0;4;22;7;1;4;47;7;7;21;30.9;0;0;2;2;25;1.8;0;0;15;2;3;29;1163549616
750;WebsphereDeploymentTool;0;0;0;892;320;21.3;233;32.3;2;16.5;7.36;36;9+;3.04;3.38;295;121;5;10;20;2;0;2;2;33;0;0;14;130;434;2;23;448;81;81;193;30.1;0;96;23;22;350;2.6;1;0;221;3;11;57;1190825410
751;VerifyJar;0;0;0;208;87;11.5;42;29.3;3;3.67;4.82;8;4;1.97;2;49;8;2;0;1;0;0;0;0;4;0;0;9;36;0;0;3;113;24;8;26;18.7;7;0;6;6;45;1.3;0;0;50;9;10;9;1163873635
752;WhichResource;0;0;0;192;66;21.2;31;40.6;1;8;5.63;7;3;1.82;2.75;31;7;1;0;6;1;0;0;1;9;0;0;6;32;16;0;8;92;21;21;34;27;0;27;3;3;40;1.4;0;0;43;5;5;15;1167401727
753;VisualBasicCompile;0;0;0;366;90;12.2;27;53.3;1;26;2.12;4;3;1.7;1.54;31;1;4;0;3;0;0;0;0;26;0;0;5;42;233;0;19;124;39;39;107;46.3;0;0;1;1;5;0.1;0;0;50;12;18;19;1163720395
754;WLJspc;0;0;0;332;119;16;67;41.3;1;8;11.63;11;4;2.18;3.88;121;33;4;3;36;1;0;0;1;9;0;0;9;61;14;0;7;153;28;28;87;36.3;0;0;13;13;129;2.8;0;0;91;4;5;53;1190986541
755;WLRmic;0;0;0;119;43;16.3;24;42;1;4;4.5;3;4;1.53;3;27;10;2;0;4;0;0;0;0;5;0;0;8;24;10;1;4;59;13;13;19;24.4;0;0;3;3;25;1.4;0;0;21;4;4;39;1186829119
756;WsdlToDotnet;0;0;0;595;174;12.6;69;46.1;3;10.33;3.16;10;5;2.1;1.84;119;23;5;3;4;1;0;0;1;18;0;0;6;55;79;0;15;253;54;18;148;36.9;0;0;3;3;37;0.5;0;0;96;18;17;36;1163370659
757;Xalan2Executor;0;0;0;96;39;10.3;22;32.3;1;3;7.33;6;4;1.67;2.67;23;3;1;0;0;0;0;0;0;4;0;0;3;26;0;0;1;57;13;13;10;14.9;0;0;4;4;31;1.8;0;0;20;1;3;22;1163111954
758;XalanExecutor;0;0;0;135;43;4.7;29;43;1;2;14;1;3;1.44;1;50;17;1;0;2;1;1;0;1;9;1;1;3;32;34;1;0;66;13;13;32;32.7;0;0;6;5;40;2;0;1;24;0;8;31;1163111954
759;XMLCatalog;0;0;0;1107;309;6.1;306;37.6;1;15;13.93;18;5;2.38;3.13;259;43;18;5;44;0;0;0;0;28;0;0;12;105;344;7;13;551;132;33;279;33.6;4;119;38;36;421;2.5;1;1;284;18;32;50;1163720163
760;XmlConstants;0;0;0;61;13;0;0;59;1;0;0;0;1;0.85;0;13;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;22;0;0;17;43.6;0;0;2;2;35;5.3;0;0;0;1;0;6;1163720250
761;XMLConstants;0;0;0;139;24;0;0;66.2;1;0;0;0;1;0.92;0;25;0;23;0;0;0;0;0;0;0;1;0;0;0;0;2;0;25;0;0;59;70.2;0;0;2;2;15;2;0;0;0;1;0;22;1186942158
762;XMLFragment;0;0;0;156;51;13.7;25;46.8;2;4.5;3.11;3;4;1.86;1.89;49;4;6;0;4;0;0;0;0;7;0;1;5;21;0;2;4;67;13;6.5;33;33;0;0;8;8;80;4;0;0;25;8;8;17;1162767620
763;XMLJUnitResultFormatter;0;0;0;295;130;10.8;86;33.9;1;15;5.53;6;5;1.82;2.2;105;25;12;0;8;0;0;0;0;15;1;0;11;65;75;0;11;164;35;35;47;22.3;0;0;19;19;185;3.8;0;0;77;10;14;56;1190628000
764;XmlLogger;8;0;8;462;205;19.5;122;35.3;2;8;9.31;13;5;2.12;3.31;161;49;26;3;10;1;0;0;1;16;1;0;13;75;50;0;12;254;56;28;92;26.6;1;0;36;33;297;3.9;0;3;139;11;14;49;1184695775
765;XmlProperty;0;0;0;755;247;21.5;162;46.5;1;32;5.44;43;7;2.43;3.44;237;68;5;8;33;0;0;0;0;34;0;0;9;107;435;0;15;344;122;122;246;41.7;0;0;16;14;152;1.5;2;0;166;9;26;37;1186942859
766;XMLResultAggregator;0;0;0;328;123;5.7;88;39;1;8;10.13;4;5;1.99;2;111;42;0;0;3;0;0;0;0;12;0;0;11;75;44;1;7;171;31;31;78;31.3;0;0;8;8;100;1.9;0;0;82;7;11;64;1163111954
767;XMLValidateTask;0;0;0;745;262;15.6;130;39.5;4;10.25;4.07;12;6;2.19;2.1;159;25;6;3;21;2;2;0;2;29;0;1;17;96;294;2;16;381;88;22;176;31.6;0;56;20;20;210;1.8;0;0;149;23;33;59;1163720395
768;XNewRmic;0;0;0;52;9;0;1;61.5;1;2;1.5;1;2;1;1;7;0;2;0;0;0;0;0;0;2;0;0;2;4;1;1;1;14;2;2;9;39.1;0;0;3;3;12;2.9;0;0;3;1;2;5;1165207910
769;Xor;0;0;0;49;11;9.1;4;61.2;1;1;6;2;3;1.36;2;10;3;0;0;1;0;0;0;0;2;0;0;3;7;1;0;2;14;2;2;9;39.1;0;0;1;1;5;1.2;0;0;6;2;1;5;1168986282
770;XSLTLiaison;0;0;0;68;7;0;0;77.9;1;3;0;0;1;0.57;0;5;0;0;0;0;0;0;0;0;3;1;0;0;3;3;2;3;8;0;0;25;75.8;0;0;5;2;15;6.3;0;3;0;4;3;23;1157136567
771;XSLTLiaison2;0;0;0;33;3;0;0;81.8;1;1;0;0;1;0.33;0;1;0;0;0;0;0;0;0;0;1;1;0;2;1;0;2;1;4;0;0;5;55.6;0;0;2;2;7;5.8;0;0;0;2;1;9;1157136567
772;XSLTLiaison3;0;0;0;35;4;0;0;80;1;1;0;0;1;0.25;0;2;0;0;0;0;0;0;0;0;1;1;0;2;1;0;2;1;5;0;0;6;54.5;0;0;2;2;7;4.7;0;0;0;2;1;3;1165207910
773;XSLTLogger;0;0;0;31;3;0;0;80.6;1;1;0;0;1;0.33;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;3;1;4;0;0;4;50;0;0;2;2;7;5.8;0;0;0;2;1;10;1157136567
774;XSLTLoggerAware;0;0;0;31;3;0;0;80.6;1;1;0;0;1;0.33;0;2;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;1;4;0;0;4;50;0;0;2;2;7;5.8;0;0;0;2;1;10;1157136567
775;XSLTProcess;0;0;0;1183;405;17.8;194;43.6;6;10.83;4.23;23;7;2.54;2.32;271;43;13;8;15;4;2;2;4;44;0;0;26;136;774;4;31;553;140;23.3;295;34.8;3;34;26;21;231;1.4;1;4;260;30;37;120;1186942859
776;Zip;0;0;0;1756;696;23.1;429;32.8;4;14.75;9.53;36;8;2.95;4.42;655;200;24;26;71;1;0;0;1;55;0;1;30;215;1065;1;28;1018;273;68.3;386;27.5;0;0;73;73;867;2.8;0;0;536;21;44;189;1190210855
777;ZipEntry;0;0;0;372;111;11.7;66;50;1;27;2.63;6;4;1.78;1.56;75;11;7;0;4;1;0;1;1;27;2;0;3;53;229;8;23;153;44;44;107;41.2;0;0;17;16;126;2.7;0;1;69;19;22;39;1187891912
778;ZipExtraField;0;0;0;85;9;0;0;76.5;1;6;0;0;1;0.67;0;3;0;0;0;0;0;0;0;0;6;1;0;1;6;15;7;6;11;0;0;31;73.8;0;0;1;1;5;1.5;0;0;0;7;6;16;1157136567
779;ZipFile;0;0;0;579;194;5.2;144;41.3;2;5;15.4;3;4;2.47;1.44;151;24;11;0;5;3;0;2;3;17;1;0;6;73;82;8;10;322;59;19.7;154;32.4;2;0;21;19;165;1.7;2;0;161;12;19;25;1187891912
780;ZipFileSet;0;0;0;147;47;19.1;29;46.3;1;9;3.67;4;4;1.96;2.22;32;7;0;0;2;0;0;0;0;9;0;0;8;28;6;4;4;66;24;24;30;31.3;0;0;2;2;35;1.8;0;0;30;5;9;50;1164145886
781;ZipLong;0;0;0;150;46;2.2;6;50;1;10;2.1;3;3;1.43;1.2;36;1;1;0;6;1;0;1;1;10;1;0;0;11;15;3;10;58;12;12;35;37.6;0;0;6;5;21;1.2;1;0;21;10;9;20;1187891912
782;ZipOutputStream;0;0;0;918;296;14.9;228;47.7;1;26;8.62;9;6;2.04;2.96;119;2;12;1;3;5;0;0;5;27;3;0;3;101;157;5;15;377;78;78;258;40.6;0;0;24;20;158;1.4;0;4;213;12;22;47;1190731809
783;ZipResource;0;0;0;203;82;11;60;36.5;1;13;4.15;3;4;1.38;1.4;34;4;2;0;1;0;0;0;0;12;0;0;9;52;60;2;10;112;32;32;33;22.8;0;0;6;6;50;1.5;0;0;49;10;12;5;1157136567
784;ZipScanner;0;0;0;98;43;20.9;19;37.8;1;1;30;10;6;2.51;10;29;6;0;0;6;0;0;0;0;2;0;0;7;20;1;2;1;54;11;11;15;21.7;0;11;5;5;56;3.5;0;0;25;1;1;53;1186942301
785;ZipShort;0;0;0;136;36;2.8;6;55.1;1;10;2;3;3;1.53;1.2;25;1;1;0;5;1;0;1;1;10;1;0;0;11;15;8;10;48;12;12;35;42.2;0;0;4;3;15;1;1;0;20;10;9;20;1187891912
