;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
59;AutoLinkFilesAction;0;0;0;0;0;0;0;24;35;3;2;0;16;32;3;1;2;60;39;10.3;42;8.3;1;3;7;5;5;1.62;3.33;139;49;6;6;3;5.8;1;0;1;1;5;0.3;0;0;20;2;2;43;1357691918;0;0;0
60;AutoSaveManager;0;0;0;0;4;0;0;18;60;11;1;0;13;44;45;6;7;146;58;13.8;42;31.5;2;4.5;3.78;4;5;1.71;2.11;39;79;22;11;19;19.4;3;0;2;2;10;0.4;0;0;34;8;9;38;1364106558;23;0;23
61;AutosaveStartupPrompter;0;0;1;1;9;4;0;14;48;2;1;0;10;30;0;1;2;112;61;18;32;17;1;2;20.5;13;6;2.79;7;328;80;11;11;2;2.4;1;0;3;3;25;1;0;0;38;2;2;29;1364106558;0;0;0
62;AutoSetLinks;0;0;0;0;27;21;1;40;131;6;1;0;8;28;15;6;4;217;113;17.7;73;27.2;3;2;13.33;21;8;3.58;7.83;65;141;23;23;50;26.2;1;0;17;17;179;4.2;0;0;76;4;3;4;1460996721;11;0;11
63;AuxCommandLine;0;0;0;0;2;0;0;3;17;2;1;0;4;10;0;2;2;29;19;5.3;7;3.4;1;2;4.5;3;3;1.37;2;15;23;4;4;1;4.2;3;0;2;2;15;2.2;0;0;9;3;2;30;1364106558;0;0;0
64;AuxParser;0;0;0;1;8;10;0;35;91;8;1;0;7;57;14;3;2;173;85;17.6;62;22.5;2;4;7;9;7;2.63;3.88;429;106;20;20;21;16.5;0;0;4;4;30;0.9;0;0;55;3;6;8;1457087754;0;0;0
65;AuxParserResult;0;0;0;0;2;0;0;0;29;11;1;0;2;27;17;4;11;92;43;7;42;12;1;11;1.64;5;4;1.33;1.36;430;63;11;11;5;7.4;7;0;1;1;5;0.3;0;0;19;8;7;5;1457087754;0;0;0
66;BaseAction;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;10;1;27;3;0;0;74.1;1;1;0;0;1;0.33;0;140;5;0;0;3;37.5;1;0;2;1;5;3.3;0;1;0;2;1;12;1364106558;0;0;0
67;BasePanel;0;12;0;13;143;64;8;373;1075;130;5;0;130;496;6223;207;66;2477;1001;0.6;1498;14.1;5;3;54.8;7;9+;4.87;2.6;94;1788;373;41.4;270;13.1;33;43;53;42;506;0.9;5;6;1003;51;81;635;1066683406;0;95;95
68;BasePanelMode;0;0;0;0;0;0;0;0;0;4;2;0;0;7;4;3;2;12;2;0;0;25;1;0;0;0;0;0;0;95;7;0;0;1;12.5;0;0;1;1;5;2.4;0;0;0;1;0;1;1458549207;0;3;3
69;BibDatabase;0;0;0;1;17;2;13;39;179;39;1;0;15;126;549;209;34;571;140;0;205;37.8;1;3;34;1;2;1.54;1;675;285;80;80;115;28.7;5;0;4;4;20;0.2;0;0;146;30;32;43;1449746606;0;0;0
70;BibDatabaseContext;0;0;0;0;4;0;1;12;70;18;1;0;7;45;127;133;17;181;86;14;55;21;1;18;3;7;4;1.83;1.78;403;115;27;27;30;20.7;12;0;1;1;5;0.1;0;0;52;14;14;14;1454074650;19;0;19
71;BibDatabaseMode;0;0;0;0;0;0;0;1;11;9;2;0;0;14;22;61;7;36;20;20;4;0;1;5;2.2;3;3;1.6;1.8;676;29;12;12;0;0;6;0;1;1;5;0.6;0;0;9;6;5;3;1453830103;0;4;4
72;BibDatabaseModeDetection;0;0;0;0;0;0;2;16;36;9;1;0;7;26;34;3;2;50;21;9.5;20;30;1;1;5;3;3;0.95;3;677;28;6;6;10;26.3;1;0;2;2;35;4.2;0;0;10;2;3;4;1453830103;0;0;0
73;BibDatabases;0;0;0;0;1;0;1;5;14;4;1;0;4;19;6;4;3;31;14;7.1;10;16.1;1;1;5;2;3;1.07;2;678;19;3;3;3;13.6;2;0;2;2;35;6.1;0;0;8;3;2;3;1450444750;0;0;0
74;BibDatabaseWriter;0;0;0;0;20;2;5;65;215;19;1;0;31;126;163;9;6;412;203;14.8;185;19.4;1;15;8.33;9;5;1.96;3;40;266;58;58;50;15.8;4;0;4;3;25;0.3;1;0;148;6;16;36;1452432428;14;0;14
75;BibEntry;0;1;0;2;30;14;8;31;272;48;1;1;18;121;846;358;45;673;295;15.6;179;26.7;2;24;4.08;17;6;2.13;2.04;685;394;117;117;96;19.6;12;20;9;9;139;1.2;0;0;192;33;38;44;1449746606;5;0;5
76;BibEntryNotFoundException;0;0;0;0;0;0;0;0;6;2;3;0;0;3;0;2;2;39;8;0;1;56.4;1;2;1.5;1;2;1.13;1;256;11;1;1;5;31.3;0;0;1;1;5;1.5;0;0;3;0;1;3;1459277251;0;0;0
77;BibEntryWriter;0;0;1;2;12;12;2;25;103;11;1;0;11;64;51;9;4;189;89;15.7;68;25.4;1;10;5.9;10;5;1.84;2.7;431;116;31;31;36;23.7;4;0;3;3;26;0.7;0;0;63;5;10;33;1463996975;6;0;6
78;BiblatexCleanup;0;0;0;0;2;0;0;5;20;5;1;0;5;25;10;1;2;68;35;8.6;30;26.5;1;4;6.25;0;5;3;0;440;41;5;5;3;6.8;0;0;2;2;13;1.1;0;0;26;1;1;9;1450622804;0;0;0
