;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total
218;EntryEditorTabList;0;0;0;0;1;0;0;11;26;5;1;0;2;17;2;4;4;76;36;11.1;21;26.3;1;5;4.4;5;4;2.03;1.8;177;47;8;8;3;6;4;0;1;1;5;0.4;0;0;21;5;5;19;1364106558;0;4;4
219;EntryEvent;0;0;0;0;0;0;1;0;5;2;1;3;1;3;0;3;2;23;8;0;0;30.4;1;2;1;1;2;0.88;1;36;11;2;2;3;21.4;1;0;1;1;5;1.5;0;0;2;3;2;1;1462797354;0;0;0
220;EntryFetcher;0;0;0;0;0;0;0;0;5;4;1;0;4;4;6;19;4;84;11;0;0;77.4;1;4;0;0;1;0.36;0;365;12;0;0;31;72.1;0;0;1;1;5;1.4;0;0;0;5;4;18;1364106558;4;0;4
221;EntryFetchers;0;0;0;0;0;0;0;1;10;2;1;0;16;21;0;2;2;51;24;0;32;31.4;1;1;16;0;2;1.42;0;366;28;2;2;1;3.4;3;0;2;2;15;1.8;0;0;16;3;2;13;1440081277;0;0;0
222;EntryFromExternalFileCreator;0;0;0;0;0;0;0;1;11;4;0;0;3;15;4;1;3;36;15;6.7;10;8.3;1;3;2;1;3;1.07;1;334;25;6;6;2;7.4;1;0;1;1;5;0.7;0;0;6;2;4;12;1364106558;4;0;4
223;EntryFromFileCreator;0;0;0;0;5;0;0;15;68;12;1;2;10;56;54;6;5;206;75;21.3;54;36.9;1;9;5.11;6;5;1.73;3;335;104;30;30;42;28.8;0;0;4;4;7;0.2;0;0;48;4;12;41;1364106558;24;0;24
224;EntryFromFileCreatorManager;0;0;0;0;12;12;0;20;91;8;1;0;13;49;8;3;5;238;85;24.7;60;34;1;7;7.57;14;7;2.02;5.6;336;134;37;37;44;24.7;1;0;5;5;35;0.9;0;0;64;6;7;38;1291023481;15;0;15
225;EntryFromPDFCreator;0;0;0;3;1;0;1;20;53;7;0;0;15;44;21;2;3;134;58;17.2;47;25.4;1;8;4.13;6;6;1.88;2.88;337;83;21;21;23;21.7;1;0;6;6;50;2;0;0;30;2;7;37;1291023481;16;0;16
226;EntryMarker;0;0;0;0;9;10;1;38;121;7;1;0;7;49;9;7;5;201;108;28.7;82;23.9;1;6;14.33;17;9+;3;7.4;105;138;41;41;26;15.9;3;0;7;7;88;2.1;0;0;77;5;5;32;1439987299;0;0;0
227;EntryRemovedEvent;0;0;0;0;0;0;0;0;2;1;0;0;2;2;0;3;1;19;5;0;1;36.8;1;1;1;1;2;0.6;1;37;7;1;1;3;30;0;0;1;1;5;2.4;0;0;1;2;1;1;1462797354;0;0;0
228;EntrySorter;0;0;0;0;0;0;0;0;13;4;1;0;3;10;0;3;3;48;18;0;5;33.3;1;3;1.33;1;2;0.72;1;680;22;3;3;1;4.3;4;0;2;2;10;1.5;0;0;4;4;3;47;1364106558;0;0;0
229;EntryTableTransferHandler;0;0;0;1;16;2;1;32;158;16;2;0;19;90;60;3;8;408;181;17.1;102;28.9;2;7.5;8.07;8;4;1.93;3.4;195;232;56;56;70;23.2;1;0;13;13;76;1.1;0;0;122;3;14;81;1113640599;0;0;0
230;EntryType;0;0;0;0;0;0;0;10;12;8;1;0;1;17;28;55;7;73;16;0;0;52.1;1;23;0;0;2;0.83;0;695;25;2;2;17;40.5;0;0;4;3;5;0.7;1;0;5;8;7;10;1447759131;0;0;0
231;EntryTypeDialog;0;2;0;2;5;0;0;13;67;7;6;0;18;55;11;5;3;190;110;4.5;70;12.1;4;3.25;4.85;4;4;1.61;1.46;106;133;14;4.7;6;4.3;1;0;4;3;485;12.2;1;0;60;2;9;57;1364106558;0;4;4
232;EntryTypeList;0;0;0;1;5;0;1;14;55;16;0;0;6;55;94;2;14;156;79;17.7;50;19.9;1;8;6.5;7;4;1.78;3.38;107;107;26;26;14;11.6;2;16;4;4;35;1.1;0;0;48;4;8;35;1364106558;0;0;0
233;EntryTypes;0;0;0;5;2;0;6;5;55;12;1;0;9;28;10;23;9;168;71;12.7;47;25.6;2;8.5;1.71;4;6;1.93;1.44;673;99;30;15;23;18.9;7;0;4;4;39;1.3;0;0;37;15;17;30;1455726212;0;0;0
234;EntryUtil;0;0;0;1;0;0;2;5;23;5;1;0;1;24;10;19;5;67;26;15.4;18;34.3;1;4;3.5;3;3;1.46;2;696;35;10;10;14;28.6;1;0;2;2;35;3.3;0;0;13;5;4;15;1447431965;0;3;3
235;ErrorConsoleAction;0;2;0;2;2;0;0;2;33;5;2;0;3;23;6;1;2;95;41;2.4;28;32.6;1;5;3.8;3;3;1.15;1.4;146;51;7;7;10;16.4;1;0;1;1;5;0.3;0;0;19;2;5;11;1443039555;0;0;0
236;EverythingMatcher;0;0;0;0;0;0;0;0;5;4;1;0;2;5;6;1;3;34;7;0;1;55.9;1;1;1;1;2;0.57;1;298;10;1;1;2;16.7;0;0;1;1;5;1.7;0;0;1;1;1;4;1455726212;0;0;0
237;ExplicitGroup;1;0;0;1;1;0;0;6;52;17;0;0;9;53;104;12;14;180;81;14.8;67;18.9;1;15;3.33;4;4;1.75;1.67;493;121;27;27;10;7.6;4;0;2;2;10;0.3;0;0;47;6;14;76;1104159179;0;0;0
238;ExportComparator;0;1;0;1;0;0;0;1;9;3;1;0;0;6;3;1;3;28;6;0;3;53.6;1;1;1;1;2;0.5;1;43;9;1;1;0;0;1;0;1;1;5;1.9;0;0;1;1;1;11;1364106558;0;2;2
239;ExportCustomizationDialog;0;0;0;0;2;5;0;1;57;4;6;0;18;71;6;2;1;198;128;10.2;98;13.1;3;3;9.78;7;5;1.95;2.67;44;149;19;9.5;9;5.7;1;0;4;3;256;5.7;1;0;84;2;4;58;1364106558;0;0;0
240;ExportFileFilter;0;0;0;1;0;0;0;3;28;9;2;0;1;23;8;2;9;83;32;12.5;8;22.9;1;8;2.13;3;3;1.53;1.5;45;50;12;12;2;3.8;0;0;1;1;5;0.3;0;0;16;0;5;19;1364106558;0;0;0
241;ExportFormat;0;0;4;7;14;14;1;43;150;13;1;4;18;71;52;6;9;381;168;17.3;87;33.3;2;8.5;7.18;17;7;2.54;3.63;46;217;38;38;82;27.4;1;0;13;11;92;1.4;2;0;116;3;8;66;1364106558;8;0;8
242;ExportFormats;0;0;0;1;14;14;1;60;152;11;1;0;14;51;11;13;6;300;117;0;161;21.3;2;0.5;88;0;3;1.75;0;47;197;31;15.5;38;16.2;3;0;13;12;145;2.5;0;1;104;7;9;92;1161294073;34;0;34
243;ExportToClipboardAction;0;0;1;1;7;0;0;40;77;6;0;0;16;60;7;1;3;152;74;6.8;63;23;2;2.5;8.8;7;5;1.63;2.2;48;98;14;14;16;14;1;0;2;2;17;0.6;0;0;47;2;3;57;1165953462;0;0;0
244;ExternalFileMenuItem;0;3;0;4;5;4;0;25;81;5;6;0;10;36;0;4;4;127;64;12.5;42;21.3;1;4;9;12;5;1.97;4;69;84;19;19;10;10.6;3;0;4;3;260;10.3;1;0;33;4;4;39;1364106558;0;0;0
245;ExternalFileType;0;0;0;0;6;0;3;6;68;23;1;1;3;38;91;42;23;237;97;10.3;25;28.7;1;22;2.82;8;4;1.74;1.73;70;136;34;34;30;18.1;7;0;2;2;11;0.3;0;0;63;10;13;37;1364106558;0;20;20
246;ExternalFileTypeEditor;0;3;0;3;3;2;4;63;200;21;6;0;19;96;138;7;2;391;191;2.6;193;12.3;2;5;13.6;4;4;1.68;1.56;71;296;60;10;23;7.2;3;0;8;7;280;3.2;1;0;142;6;22;55;1364106558;0;0;0
247;ExternalFileTypeEntryEditor;0;0;0;0;8;15;0;46;152;13;1;0;12;78;2;5;5;278;181;12.7;168;8.3;3;5;8.27;11;6;2.01;2.8;72;217;30;15;6;2.7;5;0;3;3;36;0.6;0;0;111;6;10;50;1364106558;0;0;0
248;ExternalFileTypes;0;0;0;2;30;10;1;50;151;12;1;0;10;50;0;26;10;326;102;1;189;22.4;1;3;20.67;2;3;1.48;1.33;73;223;55;55;50;18.3;3;0;17;17;163;2.4;0;0;129;10;11;8;1453721672;0;15;15
249;ExternalTab;0;1;0;1;0;0;0;0;32;7;5;0;12;53;13;1;5;134;80;0;72;11.2;1;7;7.14;1;3;1.4;1;271;94;7;7;0;0;0;0;1;1;5;0.2;0;0;52;0;6;83;1102276261;0;0;0
250;FetcherPreviewDialog;0;1;0;1;4;0;0;7;129;14;6;0;23;78;59;6;7;319;167;4.2;113;10.3;6;3.5;6;8;5;2.25;1.67;108;232;38;7.6;10;4.1;3;34;5;4;280;4;1;0;102;4;18;34;1364106558;0;6;6
251;FieldChange;0;0;0;0;0;12;0;0;41;8;1;0;1;16;0;24;8;109;52;26.9;6;17.4;1;8;4.5;15;5;2.37;2.75;674;76;32;32;0;0;5;0;1;1;5;0.2;0;0;36;6;8;6;1467121843;0;0;0
252;FieldChangedEvent;0;0;0;0;0;0;0;0;10;4;0;0;3;8;2;5;4;37;16;0;5;21.6;1;4;1.5;1;2;1.13;1;38;21;2;2;4;16;1;0;1;1;5;0.8;0;0;6;3;2;2;1462797354;0;0;0
253;FieldComparator;0;1;0;1;5;12;7;17;95;10;1;0;9;33;33;7;6;190;98;22.4;38;25.3;2;4;8.25;17;4;1.89;4.25;437;121;48;24;20;14.2;3;0;11;11;69;1.9;0;0;63;4;7;69;1131425609;2;0;2
254;FieldComparatorStack;0;1;0;1;1;0;0;0;16;2;1;0;0;7;0;4;2;45;13;15.4;1;44.4;1;2;3;3;4;1.46;2;438;19;5;5;3;13.6;1;0;1;1;5;0.9;0;0;7;2;2;15;1364106558;0;0;0
255;FieldContentParser;0;0;0;0;0;0;0;2;18;4;1;0;3;15;2;3;3;67;22;4.5;12;46.3;1;3;3;2;3;1.09;1.33;432;27;5;5;11;28.9;2;0;1;1;5;0.6;0;0;9;4;3;46;1364106558;5;0;5
256;FieldContentSelector;0;1;0;2;3;0;2;3;45;7;4;0;11;54;9;5;2;243;87;9.2;49;38.7;3;2.33;8.57;6;5;1.8;2.86;109;107;19;19;66;38.2;1;0;9;9;30;0.9;0;0;57;3;3;63;1364106558;0;0;0
257;FieldEditor;0;0;0;0;0;0;0;0;21;23;1;0;1;23;253;25;23;98;30;0;0;40.8;1;23;0;0;1;0.77;0;180;31;0;0;11;26.2;20;0;1;1;5;0.5;0;0;0;24;23;24;1364106558;0;0;0
258;FieldEditorFocusListener;0;0;0;0;0;0;0;4;10;3;1;0;2;8;3;3;3;46;16;25;10;39.1;1;2;4;3;3;1.38;3;181;23;4;4;1;4.2;0;0;1;1;5;0.7;0;0;6;1;2;19;1364106558;0;0;0
259;FieldExtraComponents;0;0;4;4;3;0;2;52;166;30;1;0;33;114;433;1;15;523;246;8.9;225;24.9;5;7.8;4.87;6;5;2.2;2;178;334;45;45;75;18.3;1;23;10;10;163;1.6;0;0;166;15;14;31;1450558654;0;0;0
260;FieldFormatterCleanup;0;0;0;0;1;0;0;2;32;9;1;0;4;33;0;12;7;119;54;18.5;22;21.8;1;9;3.78;6;4;1.8;2.22;445;75;22;22;8;9.6;1;0;1;1;5;0.2;0;0;32;2;7;25;1448986608;0;8;8
261;FieldFormatterCleanups;0;0;0;0;15;4;0;18;103;15;1;0;11;65;49;15;10;227;94;0;104;5.3;1;0;0;0;2;1.35;0;49;167;47;47;12;6.7;8;0;5;5;47;0.9;0;0;91;8;13;8;1456580733;3;10;13
262;FieldFormatterCleanupsPanel;0;2;1;3;11;0;2;44;153;25;5;0;17;113;212;6;7;326;183;6.6;158;9.2;5;4.4;5.5;5;5;1.81;1.95;165;231;35;17.5;11;4.5;8;0;3;3;265;3.8;0;0;116;8;16;21;1460579183;0;0;0
263;FieldNameLabel;0;0;1;1;0;0;0;2;11;2;5;0;1;9;1;3;2;50;19;0;8;36;1;2;4;1;2;0.95;1;182;25;2;2;3;10.7;2;0;3;3;15;2;0;0;8;2;2;18;1364106558;0;0;0
264;FieldProperties;0;0;0;0;0;0;0;0;2;4;2;0;0;8;4;16;2;30;6;0;1;0;1;0;0;0;1;0.33;0;697;26;0;0;0;0;1;0;2;1;5;0.6;0;1;0;1;0;6;1463996975;0;0;0
265;FieldSetComponent;0;0;0;1;10;10;3;12;147;17;5;1;4;98;18;3;11;367;216;14.4;134;16.9;1;17;9;13;4;1.84;3.12;110;265;57;57;28;9.6;5;17;8;6;54;0.7;2;0;156;8;17;39;1364106558;0;0;0
266;FieldTextMenu;0;0;1;1;8;0;1;5;54;9;1;0;9;40;24;3;6;117;64;6.3;52;3.4;1;9;3.89;9;4;1.72;2.14;192;93;20;10;4;4.1;2;0;1;1;5;0.2;0;0;35;2;10;53;1364106558;0;0;0
267;FileBasedLock;0;0;0;0;1;0;1;0;16;6;1;0;2;19;13;4;5;75;29;17.2;15;33.3;1;4;4.5;4;4;1.72;2.25;654;39;12;12;16;29.1;1;0;3;2;35;3;1;0;17;5;4;12;1440073995;0;0;0
268;FileDialogs;0;0;0;0;4;15;1;19;125;10;1;0;4;47;45;17;7;209;96;27.1;53;21.5;1;8;7.88;19;4;2.01;4.25;111;131;43;43;26;16.6;6;0;7;7;113;2.9;0;0;68;7;9;19;1239733028;0;0;0
269;FileField;0;0;0;0;24;12;3;28;94;8;1;0;2;38;28;15;6;128;74;24.3;74;13.3;1;7;8.57;22;5;2.35;5.86;698;96;42;42;13;11.9;5;0;3;3;57;2;0;0;61;6;7;11;1453642143;0;0;0
270;FileFinder;0;0;0;0;2;0;1;1;16;4;1;0;2;17;6;1;2;43;23;26.1;11;2.3;1;1;2;0;6;2.22;0;655;33;8;8;1;2.9;2;0;2;2;35;3.5;0;0;18;2;2;17;1440073995;0;0;0
271;FileHistory;0;0;1;1;0;0;0;2;21;6;1;0;1;17;0;2;6;72;27;11.1;11;27.8;1;6;2.17;2;3;1.41;1.5;656;37;9;9;2;5.1;6;0;1;1;5;0.5;0;0;13;7;6;48;1364106558;7;0;7
272;FileHistoryMenu;0;1;0;1;0;0;0;7;33;7;7;0;7;45;0;4;4;113;59;11.9;44;20.4;1;6;6.33;5;3;1.63;2.17;248;73;12;12;5;6.4;3;0;3;3;250;11.4;0;0;36;4;6;7;1456403810;0;0;0
273;FileLink;0;0;0;0;3;10;0;13;44;4;1;0;8;23;2;2;3;113;46;26.1;17;31.9;1;2;14;13;5;1.78;7;555;62;15;15;14;18.4;0;0;3;3;25;1.3;0;0;26;1;1;30;1364106558;7;0;7
274;FileLinksCleanup;0;0;0;0;0;0;0;5;17;2;1;0;4;13;1;1;2;49;21;9.5;13;34.7;1;1;10;3;3;1.19;3;446;26;5;5;2;7.1;0;0;1;1;5;0.6;0;0;10;1;1;6;1450622804;4;0;4
275;FileLinksUpgradeWarning;0;0;0;0;13;2;2;26;100;9;1;0;19;66;24;1;3;264;123;16.3;101;26.5;1;8;10.75;9;5;2.04;4;670;162;36;36;41;20.2;0;0;4;4;51;1;0;0;90;1;7;58;1364106558;0;0;0
276;FileListEditor;0;2;1;3;23;12;10;26;207;48;5;0;42;169;882;9;24;579;258;0;326;11.1;3;1;62.33;0;6;3.55;0;183;448;74;37;35;7.2;3;0;5;5;70;0.5;0;0;218;4;31;108;1173045766;0;0;0
277;FileListEditorTransferHandler;0;1;0;1;3;10;0;0;63;9;2;1;13;44;22;2;5;168;81;16;36;23.8;1;7;6.57;10;7;1.93;4;184;105;22;22;17;13.9;0;0;2;2;16;0.5;0;0;46;0;5;39;1364106558;0;0;0
278;FileListEntry;0;0;0;0;0;0;0;0;20;6;1;0;1;19;0;30;5;60;24;0;15;30;1;6;1.67;1;2;1.21;1;112;32;7;7;1;3;7;0;4;4;35;3.6;0;0;10;8;6;14;1364106558;0;6;6
279;FileListEntryEditor;0;0;0;0;27;10;5;43;208;23;1;0;26;116;167;10;9;385;236;10.6;183;10.4;5;4.2;8.14;26;9+;3.21;3.45;113;294;51;25.5;21;6.7;6;0;6;6;52;0.6;0;0;146;7;12;84;1173045766;0;0;0
280;FileListTableModel;0;1;0;1;11;0;0;17;81;18;2;0;8;60;63;29;15;237;105;20;58;22.4;1;16;4.5;6;6;2.19;2.19;114;151;41;41;26;14.7;4;0;2;2;15;0.3;0;0;71;10;16;42;1364106558;0;13;13
281;FileNameCleaner;0;0;0;0;0;0;1;0;8;4;1;0;0;11;4;2;2;66;15;20;8;47;1;2;4.5;4;4;1.87;2.5;657;30;4;4;8;21.1;0;0;2;2;35;3.9;0;0;8;2;2;16;1364106558;0;0;0
282;FileSortTab;0;2;0;2;0;0;0;1;31;7;5;0;8;38;3;2;5;129;72;4.2;52;17.1;2;3;7.83;4;4;1.55;1.5;272;85;8;8;5;5.6;0;0;2;2;10;0.4;0;0;44;0;5;35;1438249769;0;0;0
283;FileTab;0;1;1;2;1;7;0;4;94;7;5;0;12;76;3;1;5;310;204;0;238;8.1;1;2;77.5;1;3;1.65;1;273;246;18;18;8;3.1;0;0;1;1;5;0.1;0;0;166;0;5;77;1194541352;0;0;0
284;FileUpdateListener;0;0;0;0;0;0;0;0;3;2;1;0;0;2;1;4;2;30;4;0;0;70;1;2;0;0;1;0.5;0;23;5;0;0;2;28.6;1;0;1;1;5;3.3;0;0;0;3;2;6;1364106558;0;0;0
285;FileUpdateMonitor;0;0;0;0;5;0;2;5;74;12;1;0;4;38;0;5;8;241;110;14.5;44;27;2;8;4.69;6;6;2.35;2.06;24;145;40;20;30;17.1;4;0;7;6;45;1;1;0;71;13;15;51;1091903733;0;0;0
286;FileUpdatePanel;0;2;0;2;0;0;0;0;20;6;0;0;8;28;3;1;6;123;46;2.2;22;34.1;1;6;3.5;2;3;1.15;1.17;25;61;7;7;18;22.8;2;0;4;4;20;1.1;0;0;21;3;6;30;1364106558;0;0;0
287;FileUtil;0;0;0;2;31;4;3;45;185;15;1;0;17;105;97;32;12;410;183;25.1;132;28.8;2;5;8.2;11;6;2.14;4.7;658;244;83;83;72;22.8;2;0;7;7;120;1.6;0;0;139;12;13;47;1440073995;9;0;9
288;FindFullText;0;0;0;0;1;0;0;10;26;5;1;0;15;35;2;2;3;63;31;0;38;11.1;1;1;16;0;2;1.13;0;483;45;10;10;5;10;3;0;1;1;5;0.4;0;0;21;4;3;54;1364106558;0;0;0
289;FindFullTextAction;0;0;0;0;0;0;0;5;31;6;0;0;16;41;0;1;4;103;56;7.1;40;19.4;1;5;6.2;5;5;2.09;2;74;71;8;8;3;4.1;1;0;3;3;5;0.2;0;0;29;2;4;40;1364106558;0;0;0
290;FindUnlinkedFilesDialog;0;6;1;9;14;14;1;77;433;42;6;0;34;221;671;13;1;1222;564;5.1;453;21.9;10;3.4;12.12;10;5;2.03;2.09;115;768;101;20.2;169;18;9;0;20;11;825;3.6;9;0;402;11;34;85;1291023481;0;13;13
291;FirstColumnComparator;0;1;0;1;2;0;0;0;15;3;1;0;5;9;1;1;3;51;20;10;10;29.4;1;2;5;3;3;1.25;2;313;26;4;4;0;0;2;0;1;1;5;0.6;0;0;10;2;2;29;1364106558;0;0;0
292;FirstPage;0;0;0;0;0;0;0;0;9;2;1;0;1;4;1;2;2;41;11;27.3;1;51.2;1;1;7;4;3;1.64;4;556;16;6;6;3;15.8;0;0;1;1;5;1;0;0;6;1;1;13;1364106558;0;0;0
293;FocusRequester;0;0;0;0;0;0;1;0;13;3;1;0;2;11;0;17;2;44;15;6.7;5;34.1;1;2;3;2;3;1.13;1.5;311;20;3;3;0;0;2;0;2;1;5;0.8;1;0;6;2;2;17;1364106558;0;0;0
294;FontSelectorDialog;0;0;1;2;6;0;1;16;100;15;6;0;4;78;69;3;2;365;160;0;145;28.2;2;0.5;113;0;3;2.06;0;274;207;24;12;61;22.8;2;0;4;4;265;4.3;0;0;127;3;6;42;1068243487;0;0;0
295;FormatNameFunction;0;0;0;0;2;0;0;9;35;2;1;0;8;17;0;1;2;83;31;16.1;14;38.6;1;2;10.5;8;4;1.77;4.5;7;39;11;11;12;23.5;1;0;3;3;30;2.6;0;0;20;2;2;16;1364106558;0;0;0
296;FormatPagesForHTML;0;0;0;0;0;0;0;0;5;2;1;0;1;4;1;1;2;26;5;0;1;57.7;1;1;1;1;2;0.6;1;557;8;1;1;0;0;1;0;1;1;5;2.1;0;0;1;1;1;12;1364106558;0;0;0
297;FormatPagesForXML;0;0;0;0;0;0;0;0;5;2;1;0;1;4;1;1;2;26;5;0;1;57.7;1;1;1;1;2;0.6;1;558;8;1;1;0;0;1;0;1;1;5;2.1;0;0;1;1;1;12;1364106558;0;0;0
298;Formatter;0;0;0;0;0;0;0;4;6;7;1;0;0;9;21;36;7;74;12;16.7;0;64.9;1;12;0;0;3;1.36;0;454;18;5;5;22;55;0;0;1;1;5;0.9;0;0;4;8;7;9;1446048690;0;0;0
299;Formatters;0;0;0;4;0;0;0;0;7;2;1;0;20;26;1;3;1;83;32;0;10;19.3;1;0;0;0;2;0.33;0;455;58;0;0;0;0;1;0;3;2;35;2;0;1;3;1;0;2;1462005728;0;0;0
300;FreeCiteImporter;0;1;0;2;6;14;0;70;142;8;0;0;16;66;26;4;7;246;137;17.5;110;17.9;2;3;16.67;36;9+;3.7;6.83;387;176;43;43;27;13.3;1;0;12;11;101;1.9;1;0;91;2;6;51;1364106558;10;0;10
301;FromAuxDialog;0;1;0;1;4;0;1;17;99;9;6;0;15;88;20;2;3;276;165;3.6;141;15.2;3;3.67;9.73;6;4;1.64;1.73;162;192;17;8.5;10;5;4;0;2;2;245;4.3;0;0;106;4;8;65;1098221931;0;0;0
302;FullTextFinder;0;0;0;0;0;0;0;0;2;1;1;0;1;1;0;9;1;25;7;0;0;52;1;1;0;0;1;0.14;0;484;9;0;0;8;47.1;0;0;1;1;5;1.9;0;0;0;2;1;15;1364106558;0;0;0
303;GeneralFetcher;0;2;1;3;0;0;1;37;98;16;0;0;27;106;58;3;6;323;155;0;184;14.9;1;0;0;0;2;1.52;0;369;234;27;9;33;12.4;2;0;11;8;55;0.8;3;0;133;2;9;77;1144273285;0;0;0
304;GeneralRenderer;0;0;0;0;0;0;0;5;41;6;6;2;0;17;11;6;5;108;48;20.8;22;30.6;1;6;5.33;7;4;2.02;2.67;289;64;14;14;12;15.8;1;0;2;2;245;12.8;0;0;28;4;6;26;1364106558;0;0;0
305;GeneralTab;0;1;0;2;6;3;1;15;101;6;5;0;13;71;0;2;5;297;195;0;247;6.7;2;1;71.5;1;3;1.62;1;275;241;14;7;5;2;1;0;4;3;255;3.5;1;0;150;1;6;120;1068408163;0;0;0
306;GenFieldsCustomizer;0;0;0;1;2;0;0;33;93;8;6;0;15;72;8;2;1;192;122;0;121;9.4;2;1;38;1;3;1.69;1;117;151;14;14;3;1.9;2;0;4;4;247;5.5;0;0;80;2;5;60;1364106558;0;0;0
307;GetOpenOfficeType;0;0;0;0;0;12;0;0;30;2;1;0;1;4;1;3;2;98;33;42.4;14;44.9;1;1;29;15;3;2.21;15;559;50;29;29;21;29.6;0;41;3;3;64;4.3;0;0;29;1;1;14;1364106558;0;0;0
308;GlobalFocusListener;0;0;0;0;0;0;0;0;14;5;1;0;0;8;4;10;5;46;15;6.7;2;34.8;1;4;1;2;3;0.93;1.25;118;23;4;4;1;4.2;2;0;1;1;5;0.7;0;0;4;2;3;14;1364106558;0;0;0
309;GlobalLabelPattern;0;0;0;0;0;0;0;0;5;2;0;0;2;4;1;4;2;27;5;0;1;55.6;1;1;1;1;2;0.6;1;518;8;1;1;0;0;1;0;1;1;5;2.1;0;0;1;1;1;7;1456089841;1;5;6
310;Globals;0;0;0;5;0;0;2;4;44;10;1;0;12;25;33;286;9;130;56;3.6;14;27.7;1;8;2.13;2;3;1.14;1.25;405;68;7;7;19;21.8;8;0;9;6;67;3.3;0;3;17;9;5;279;1066683406;0;244;244
311;GlobalSearchWorker;0;0;0;0;0;0;0;7;22;3;0;0;8;21;0;1;3;51;26;3.8;17;13.7;1;3;3;2;3;1.04;1.33;291;35;4;4;5;12.5;0;0;1;1;5;0.5;0;0;9;0;3;9;1447710738;0;0;0
312;GoogleScholar;0;0;0;0;2;0;0;7;26;3;1;0;9;27;1;2;2;63;33;12.1;21;15.9;1;1;15;5;5;1.52;5;485;43;6;6;8;15.7;0;0;4;4;5;0.4;0;0;15;1;1;13;1459518708;0;0;0
313;GoogleScholarFetcher;0;0;0;0;25;4;1;63;193;16;1;0;14;77;76;1;10;331;185;16.8;114;13.9;1;14;9.14;11;7;2.4;3.71;370;243;57;57;28;10.3;1;0;8;8;60;0.8;0;0;126;1;14;58;1364106558;7;0;7
314;GrammarBasedSearchRule;0;0;0;0;3;0;0;24;136;10;1;0;20;28;25;4;8;259;136;12.5;68;12.7;5;4.4;3.36;6;5;2.04;2.14;637;185;62;12.4;14;7;14;0;2;2;15;0.3;0;0;72;15;22;21;1438262128;0;0;0
315;GrammarBasedSearchRuleDescriber;0;0;0;0;0;12;0;5;43;3;1;0;4;12;0;3;2;120;56;16.1;48;13.3;2;3.5;5.86;11;6;2.84;3.71;643;87;25;25;1;1.1;2;0;4;4;64;2.5;0;0;33;2;2;18;1455726212;0;0;0
316;GroupAddRemoveDialog;0;0;2;2;0;0;1;22;90;13;1;0;19;80;54;3;2;235;110;0.9;108;17;2;1;36;1;3;1.69;1;196;157;24;12;21;11.8;1;0;6;6;18;0.4;0;0;82;2;7;40;1358891048;0;0;0
317;GroupChange;0;2;0;2;1;0;0;11;30;3;0;0;13;30;0;1;3;88;39;10.3;33;23.9;1;3;7.33;5;4;1.55;2.67;26;56;9;9;6;9.7;0;0;1;1;5;0.3;0;0;24;0;3;37;1364106558;14;0;14
318;GroupDialog;0;3;3;8;5;20;2;18;164;16;6;0;27;130;86;7;3;502;336;10.4;323;11.6;4;4.5;14.06;13;6;2.05;3.71;197;409;59;59;34;7.7;1;0;10;9;343;2.8;1;0;242;1;11;121;1066856008;0;0;0
319;GroupHierarchyType;0;0;0;0;0;0;0;0;4;5;2;0;0;8;8;21;3;28;9;22.2;1;39.3;1;1;5;4;3;1.56;4;494;14;5;5;7;33.3;2;0;1;1;5;1.2;0;0;4;2;1;3;1455911924;0;0;0
320;GroupMatcher;0;0;0;0;0;0;0;0;5;4;1;0;2;6;6;2;3;34;7;0;2;55.9;1;1;1;1;2;0.57;1;198;10;1;1;2;16.7;0;0;1;1;5;1.7;0;0;1;1;1;15;1364106558;0;0;0
321;GroupSelector;0;1;0;1;25;21;2;173;585;64;0;0;63;280;1332;31;20;1274;634;1.3;937;10.4;4;1.75;75.29;2;5;2.84;1.8;199;1018;181;10.6;82;7.5;4;26;18;14;129;0.4;4;0;595;16;63;212;1066856008;0;0;0
322;GroupsParser;0;0;0;0;10;0;1;9;27;2;1;0;5;20;1;1;1;62;26;23.1;14;35.5;1;1;20;7;5;2.5;7;496;34;7;7;4;10.5;1;0;2;2;35;3.4;0;0;21;1;1;4;1461864434;0;0;0
323;GroupsPrefsTab;0;1;0;1;0;0;0;2;40;6;5;0;6;38;3;2;5;156;98;0;104;11.5;2;3.5;10;1;4;1.61;1;276;120;7;7;3;2.4;0;0;1;1;5;0.1;0;0;67;0;5;22;1364106558;0;0;0
324;GroupsTree;0;1;1;2;19;19;2;64;187;22;5;0;16;115;203;12;20;461;225;18.2;155;22.3;1;21;6.95;18;6;2.12;3.14;202;317;79;79;70;18.1;1;0;8;6;79;0.8;2;0;156;10;22;77;1111925121;0;0;0
